what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1415260406687
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415260408687
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415260410406
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415260412234
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415260415750
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415260417765
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415260421875
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1415260422312
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.1.v201201112313,"org.eclipse.wst.jsdt.debug.rhino.ui",1415260422312
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415260422375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415260422390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415260422578
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415260426687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415260426781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415260426796
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415260426875
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1415260430828
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1415260433437
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415260433484
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415260434328
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415260434609
closed,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1415260434609
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415260436531
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415260437671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415260437796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415260437812
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415260438078
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1415260439984
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1415260440093
