what,kind,bundleId,bundleVersion,description,time
activated,editor,com.android.ide.eclipse.adt,22.0.4.v201307151829--741630,"com.android.ide.eclipse.editors.CommonXmlEditor",1415692752390
error,log,,,"Failed to load properties file for project 'hibernate1'",1415692754250
error,log,,,"null",1415692754250
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1415692758640
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415692759625
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415692760468
activated,editor,com.android.ide.eclipse.adt,22.0.4.v201307151829--741630,"com.android.ide.eclipse.editors.CommonXmlEditor",1415692763843
error,log,,,"Failed to load properties file for project 'hibernate1'",1415692765171
error,log,,,"null",1415692765171
error,log,,,"Failed to load properties file for project 'hibernate1'",1415692766765
error,log,,,"null",1415692766765
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1415692766859
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415692776578
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1415692777906
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415692789781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415692798000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415692804312
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415692807265
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415692808625
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415692808796
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1415692809312
started,bundle,org.codehaus.groovy.eclipse.ui,2.7.2.xx-RELEASE-20121219-0800-e37,"org.codehaus.groovy.eclipse.ui",1415692809328
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415692901578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415692901578
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415692901656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415692908906
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415692915156
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1415692920562
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1415692920562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415692922765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415692922828
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1415692922843
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415692923515
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415692923656
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1415692923781
