what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1414051076609
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1414051078968
closed,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1414051078968
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1414051079703
closed,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1414051079703
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414051086250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414051089906
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1414051090078
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1414051090125
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1414051091906
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1414051096078
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1414051097171
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1414051098046
started,bundle,org.springframework.ide.eclipse.beans.ui.refactoring,3.1.0.201210040510-RELEASE,"org.springframework.ide.eclipse.beans.ui.refactoring",1414051099421
started,bundle,org.codehaus.groovy.eclipse.refactoring,2.7.2.xx-RELEASE-20121219-0800-e37,"org.codehaus.groovy.eclipse.refactoring",1414051099437
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414051099515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414051103531
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1414051103750
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1414051105078
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1414051105140
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1414051107062
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414051109046
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414051142468
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1414051142593
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1414051149562
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1414051158562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414051161484
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414051174515
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1414051176468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414051177796
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414051177812
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414051177890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414051195906
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1414051200125
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1414051209937
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1414051213781
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1414051218218
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1414051220968
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1414051226812
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1414051235359
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1414051237546
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414051240500
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414051240500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414051240593
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414051246546
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1414051249421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414051253031
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414051253031
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414051253109
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414051268625
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414051273375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414051273375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414051273484
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414051370750
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1414051370875
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414051938328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414051938343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414051938421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414052231156
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1414052232234
closed,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1414052232234
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1414052233000
closed,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1414052233000
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1414052234843
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1414052234890
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414052265109
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414052265109
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414052265171
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414052286859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414052288343
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414052288343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414052288406
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414052530453
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1414052536031
closed,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1414052536031
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414052538828
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414052541328
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414052544171
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414052550109
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1414052550250
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1414052550312
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1414052568421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414052641328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414052865609
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1414052870359
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1414052872750
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1414052881906
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1414052892500
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1414052893890
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1414052895671
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1414052902656
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414052912656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414053020937
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1414053022625
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1414053024093
opened,editor,com.android.ide.eclipse.adt,22.0.4.v201307151829--741630,"com.android.ide.eclipse.editors.CommonXmlEditor",1414053024796
activated,editor,com.android.ide.eclipse.adt,22.0.4.v201307151829--741630,"com.android.ide.eclipse.editors.CommonXmlEditor",1414053025140
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1414053037687
error,log,,,"null",1414053039046
error,log,,,"null",1414053044875
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1414053054625
error,log,,,"null",1414053058296
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1414053072640
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1414053089609
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1414053091140
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1414053091875
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1414053091984
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1414053092109
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1414053092218
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1414053092937
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1414053094828
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414053096734
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414053096750
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414053096812
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414053097765
activated,editor,com.android.ide.eclipse.adt,22.0.4.v201307151829--741630,"com.android.ide.eclipse.editors.CommonXmlEditor",1414053098390
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414053100687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414053225687
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414053226796
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414053227343
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1414053227421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414053228250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414053325718
activated,editor,com.android.ide.eclipse.adt,22.0.4.v201307151829--741630,"com.android.ide.eclipse.editors.CommonXmlEditor",1414053326078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414053329734
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414053329750
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414053329796
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414053335437
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1414053337703
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1414053339171
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1414053348640
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1414053350000
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414053351609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414053355671
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1414053368359
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1414053368609
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1414053368671
activated,editor,com.android.ide.eclipse.adt,22.0.4.v201307151829--741630,"com.android.ide.eclipse.editors.CommonXmlEditor",1414053376281
closed,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1414053376281
error,log,,,"null",1414053378515
error,log,,,"null",1414053383171
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1414053395140
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1414053404078
error,log,,,"null",1414053406031
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1414053409656
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1414053434375
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1414053435125
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1414053466937
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1414053467171
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1414053467234
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1414053478781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414053481609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414053481609
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414053481687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414053495531
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1414053495562
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1414053496140
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1414053497296
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1414053497890
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1414053497968
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414053502578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414053502593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414053502671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414053642562
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1414053642593
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1414053643640
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414053646687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414053646703
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414053646750
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414053647953
activated,editor,com.android.ide.eclipse.adt,22.0.4.v201307151829--741630,"com.android.ide.eclipse.editors.CommonXmlEditor",1414053648140
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1414053651859
activated,editor,com.android.ide.eclipse.adt,22.0.4.v201307151829--741630,"com.android.ide.eclipse.editors.CommonXmlEditor",1414053655281
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1414053665843
closed,editor,com.android.ide.eclipse.adt,22.0.4.v201307151829--741630,"com.android.ide.eclipse.editors.CommonXmlEditor",1414053665843
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1414053666703
closed,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1414053666703
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1414053667875
closed,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1414053667875
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1414053671968
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414053720406
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414053725640
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1414053725781
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1414053725828
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1414053747062
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1414053773328
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1414053775218
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1414053779156
opened,editor,com.android.ide.eclipse.adt,22.0.4.v201307151829--741630,"com.android.ide.eclipse.editors.CommonXmlEditor",1414053779515
activated,editor,com.android.ide.eclipse.adt,22.0.4.v201307151829--741630,"com.android.ide.eclipse.editors.CommonXmlEditor",1414053779687
error,log,,,"null",1414053786218
error,log,,,"null",1414053790640
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1414053802015
error,log,,,"null",1414053803578
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1414053807437
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1414053834796
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1414053836734
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414053855593
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414053855609
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414053855703
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414053884453
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1414053885343
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1414053886734
activated,editor,com.android.ide.eclipse.adt,22.0.4.v201307151829--741630,"com.android.ide.eclipse.editors.CommonXmlEditor",1414053887140
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414053889531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414053889531
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414053889609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414053996203
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1414053997140
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1414053999359
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1414054001031
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1414054001656
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1414054001859
activated,editor,com.android.ide.eclipse.adt,22.0.4.v201307151829--741630,"com.android.ide.eclipse.editors.CommonXmlEditor",1414054001921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414054005562
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414054005562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414054005640
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414054019203
