what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415696950453
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415696958656
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415697015765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415697018265
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415697027984
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415697033640
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1415697033765
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415697044578
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415697065375
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415697074890
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415697097390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415697098000
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.switchToEditor",1415697098015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415697101859
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415697108000
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1415697108109
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415697127921
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1415697133546
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1415697141671
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415697142578
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415697149453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415697149468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415697149531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415697151625
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1415697155062
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415697157796
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415697166750
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1415697174187
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415697176343
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1415697180000
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415697186468
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1415697198078
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415697201890
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415697210437
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1415697212218
